player_id,Name,height_cm,weight_kg,score,rebounds,assists,steals,blocks,overall_hit_rate,three_point_hit_rate,offence_score,defence_score,overall_score,jersey_number,position,team,wages
1,Seth Curry,187,83.9,6,1.5,1,0.4,0.1,0.407,0.411,66,60,62,31,PG,Blazers,3
2,Nik Stauskas,198,93,6.2,1.9,1.4,0.3,0.1,0.376,0.281,60,60,60,6,SG,Blazers,3
3,Jake Layman,205,97.5,7.1,2.7,0.6,0.5,0.3,0.489,0.320,66,60,66,10,SF,Blazers,4
4,CJ McCollum,190,86.2,20.7,3.8,2.6,0.8,0.3,0.450,0.330,87,74,84,3,PG,Blazers,6
5,Maurice Harkless,205,99.8,5.9,3.9,0.8,0.9,0.9,0.427,0.266,57,70,65,4,SF,Blazers,3
6,Zach Collins,213,106.6,7,4.3,1,0.4,0.8,0.466,0.221,54,54,60,33,PF,Blazers,3
7,Damian Lillard,190,88.4,26.2,4.5,6.2,1.1,0.5,0.456,0.381,84,78,85,0,PG,Blazers,6
8,Evan Turner,200,99.8,7.9,4.8,4,0.5,0.3,0.478,0.078,69,75,70,1,SF,Blazers,4
9,Al-Farouq Aminu,205,99.8,9.5,8.2,1.2,0.9,0.4,0.437,0.374,85,73,81,8,SF,Blazers,5
10,Jusuf Nurkic,213,124.7,15.2,10.4,3.2,1.1,1.5,0.506,0.051,75,82,80,27,C,Blazers,5
11,Tyrone Wallace,195,89.8,4,1.7,0.6,0.4,0.2,0.426,0.044,60,60,60,9,SG,Clipper,3
12,Shai Gilgeous-Alexander,198,82.1,9.7,2.6,2.9,1,0.6,0.448,0.300,72,84,75,2,SG,Clipper,5
13,Lou Williams,185,79.4,18.8,2.9,5,0.6,0.1,0.432,0.398,83,72,77,23,PG,Clipper,5
14,Boban Marjanovic,220,131.5,6.6,4,0.6,0.3,0.5,0.502,0.000,55,60,60,51,C,Clipper,3
15,Patrick Beverley,185,83.9,6.7,4.3,3.4,0.7,0.5,0.377,0.322,67,86,76,21,PG,Clipper,5
16,Marcin Gortat,210,108.8,5.2,5.7,1.4,0.1,0.5,0.490,0.000,50,63,60,13,C,Clipper,3
17,Danilo Gallinari,208,102,19,6,2.5,0.7,0.3,0.448,0.438,84,81,83,8,SF,Clipper,5
18,Montrezl Harrell,203,108.8,15.5,6.8,1.7,0.9,1.4,0.603,0.020,75,80,77,5,Pf,Clipper,5
19,Tobias Harris,205,106.6,21.1,8,2.5,0.8,0.4,0.496,0.414,85,82,84,34,SF,Clipper,6
20,Shelvin Mack,190,92.1,8.1,2,3.4,0.8,0.1,0.420,0.289,60,60,62,6,PG,Grizzlies,3
21,Garrett Temple,198,88.4,9.4,3.1,1.4,1,0.5,0.436,0.339,68,66,66,17,SG,Grizzlies,4
